COMMUNE,LIEU_DIT,DEPARTEMENT,LONG_L93,LAT_L93,LAT_WGS,LONG_WGS,Département,Ancienne Région,Nouvelle Région,DPT_str
SAINT-PHILIPPE-D'AIGUILLE,Colin,33,461647.5,6429408.6,44.922829395898916,-0.02137821013630686,33,Aquitaine,Nouvelle-Aquitaine,Gironde
TABANAC,Carrière inondée,33,429937.5,6408446.7,44.72263421412236,-0.4113923867132846,33,Aquitaine,Nouvelle-Aquitaine,Gironde
VAL-DE-VIRVÉE,Carrière de Tarreyrots,33,435041.0,6439408.0,45.003104322542335,-0.36365405471497697,33,Aquitaine,Nouvelle-Aquitaine,Gironde
VILLEGOUGE,Saute qui peut,33,439225.0,6433924.2,44.955364826743455,-0.3076863511200406,33,Aquitaine,Nouvelle-Aquitaine,Gironde
AZAY-LE-RIDEAU,Caves méclines,37,509465.0,6687488.0,47.260334386493966,0.4799442450052682,37,Centre,Centre-Val de Loire,Indre-et-Loire
SAINT-NECTAIRE,Fontaines pétrifiantes,66,699432.0,6498165.33,45.58299707614598,2.992716026071851,66,Languedoc-Roussillon,Occitanie,Pyrénées-Orientales
AUBIÈRE,Toutes caves Puy d'Aubière,63,708890.707,6516528.596,45.748297336260514,3.114354475936483,63,Auvergne,Auvergne-Rhône-Alpes,Puy-de-Dôme
CHAMPEIX,Grotte d'Aubary n°1,63,710403.963,6498818.168,45.588796806007664,3.133433378362598,63,Auvergne,Auvergne-Rhône-Alpes,Puy-de-Dôme
JARZÉ-VILLAGES,Caves des Herveaux,49,456128.0,6723182.0,47.56391818575623,-0.2441846630224357,49,Pays de la Loire,Pays de la Loire,Maine-et-Loire
LES BOIS-D'ANJOU,Caves des Mandottières,49,462146.0,6710076.0,47.44823572573733,-0.1572474907165545,49,Pays de la Loire,Pays de la Loire,Maine-et-Loire
VOLVIC,Cavité de l'Ours,63,701997.85,6530448.23,45.873697347083855,3.0257552556298197,63,Auvergne,Auvergne-Rhône-Alpes,Puy-de-Dôme
CURÇAY-SUR-DIVE,Cavité Rue des Vignes,86,468026.19,6661277.36,47.01134083248235,-0.05423197240843818,86,Poitou-Charentes,Nouvelle-Aquitaine,Vienne
PRINÇAY,Les Roches (Princay),86,488718.35,6649870.23,46.91558380644024,0.2232501114286354,86,Poitou-Charentes,Nouvelle-Aquitaine,Vienne
MONTRÉAL,Tunnel de Pomiro,32,472477.0,6316960.0,43.91490579352383,0.1668948722842705,32,Midi-Pyrénées,Occitanie,Hautes-Pyrénées
BROMONT-LAMOTHE,Galerie principale (Bromont),63,687054.0,6529787.0,45.86762277219406,2.83312507733608,63,Auvergne,Auvergne-Rhône-Alpes,Puy-de-Dôme
BEAULIEU-LÈS-LOCHES,Grandes caves impasse du bout du monde,37,549664.0,6671504.0,47.126810321237016,1.0166793545320418,37,Centre,Centre-Val de Loire,Indre-et-Loire
FAYMOREAU,la verrerie (maison bourgeoise),85,421963.0,6612583.0,46.55573940916363,-0.6304666690612021,85,Pays de la Loire,Pays de la Loire,Vendée
SAINT-HILAIRE-DES-LOGES,Le retail,85,420394.0,6607917.0,46.513118376856085,-0.6481119712952957,85,Pays de la Loire,Pays de la Loire,Vendée
CHÂTELUS-LE-MARCHEIX,les Côtes - Ancienne mine de Wolfram,23,593064.4,6549121.29,46.03341895879171,1.6173669658787606,23,Limousin,Nouvelle-Aquitaine,Creuse
MIGNÉ-AUXANCES,Glacière de malaguet 2,86,496777.77,6618698.59,46.63757796265297,0.3428687691889606,86,Poitou-Charentes,Nouvelle-Aquitaine,Vienne
MIGNÉ-AUXANCES,Glacière de malaguet 1,86,496770.21,6618678.84,46.63739793887231,0.34277868341774853,86,Poitou-Charentes,Nouvelle-Aquitaine,Vienne
LA CHÂTAIGNERAIE,Prison royal,85,414025.0,6623271.0,46.64853797456053,-0.7405706436450807,85,Pays de la Loire,Pays de la Loire,Vendée
LANQUAIS,Carrière des Roques,24,516310.93,6414286.87,44.803412433991134,0.6767183139908675,24,Aquitaine,Nouvelle-Aquitaine,Dordogne
NÉRAC,Caves maison Laubenheimer,47,486701.0,6340886.0,44.13456699466565,0.3338171709212585,47,Aquitaine,Nouvelle-Aquitaine,Lot-et-Garonne
COUZE-ET-SAINT-FRONT,Carrière de Trémouilh (entrée Nord),24,518441.48,6416357.1,44.82260433379994,0.7028885097737618,24,Aquitaine,Nouvelle-Aquitaine,Dordogne
LES EYZIES,Grotte de Vieil Mouly,24,548069.63,6427678.2,44.93162910682574,1.074093559023016,24,Aquitaine,Nouvelle-Aquitaine,Dordogne
LES EYZIES,Grotte de Pechmemie,24,550688.0,6426186.0,44.91876784778637,1.1077250441046638,24,Aquitaine,Nouvelle-Aquitaine,Dordogne
MARQUAY,Grotte du Bison,24,551019.0,6426236.0,44.919289227317584,1.1119031552043084,24,Aquitaine,Nouvelle-Aquitaine,Dordogne
MOLÈDES,Fournial 1,15,704218.0,6461290.0,45.25093861819236,3.053769183043405,15,Auvergne,Auvergne-Rhône-Alpes,Cantal
SOUSCEYRAC-EN-QUERCY,Gorges de la Cère VT9,46,625229.32,6431362.21,44.977437927617444,2.051485149248566,46,Midi-Pyrénées,Occitanie,Lot
CAMPAGNE,Carrière du Soleillal,24,540922.94,6425057.01,44.90643070132499,0.9843868249033934,24,Aquitaine,Nouvelle-Aquitaine,Dordogne
MAUZENS-ET-MIREMONT,Carrière des Badies,24,537479.83,6434906.8,44.99428444044712,0.9375208140773672,24,Aquitaine,Nouvelle-Aquitaine,Dordogne
RÉAUP-LISSE,Grotte de Testoua,47,476224.0,6339558.0,44.11936027500377,0.20355192256414198,47,Aquitaine,Nouvelle-Aquitaine,Lot-et-Garonne
VERTEUIL-SUR-CHARENTE,Château de Verteuil,16,485643.0,6546307.0,45.98265410722283,0.23058241268944574,16,Poitou-Charentes,Nouvelle-Aquitaine,Charente
MONCEAUX-SUR-DORDOGNE,Les Dames,19,609664.0,6441090.0,45.06315709375661,1.8522607137956342,19,Limousin,Nouvelle-Aquitaine,Correze
BLANQUEFORT-SUR-BRIOLANCE,Maison Brousse,47,539000.0,6391113.0,44.600488479748996,0.9710812861887709,47,Aquitaine,Nouvelle-Aquitaine,Lot-et-Garonne
VILLANDRAUT,Château de Villandraut,33,431752.0,6379142.0,44.45976385794164,-0.37269854351421017,33,Aquitaine,Nouvelle-Aquitaine,Gironde
LACANAU,Lacanau Lac,33,373885.0,6441903.0,44.99938890616397,-1.1403999536757403,33,Aquitaine,Nouvelle-Aquitaine,Gironde
BANCA,Petexaenea (Site générique Galeries N&S),64,341680.0,6234364.0,43.11863445462285,-1.4017172208776851,64,Aquitaine,Nouvelle-Aquitaine,Pyrénées-Atlantiques
BOUZIÈS,Défilé des Anglais,46,592041.0,6377357.0,44.48691873049245,1.6423187856392352,46,Midi-Pyrénées,Occitanie,Lot
MOUTHIERS-SUR-BOËME,Le Vidaud,16,475095.0,6501551.0,45.57649026227054,0.11553823979377223,16,Poitou-Charentes,Nouvelle-Aquitaine,Charente
VŒUIL-ET-GIGET,Bompart,16,477635.0,6504139.0,45.60060999595877,0.14688708742382597,16,Poitou-Charentes,Nouvelle-Aquitaine,Charente
BUDELIÈRE,Mine Est de Termont,23,660650.0,6568473.0,46.21496419605587,2.4895582658939994,23,Limousin,Nouvelle-Aquitaine,Creuse
SAINT-PAUL,Tunnel de Combe Lapeyre,19,610916.0,6456746.0,45.20427279549196,1.865307268015914,19,Limousin,Nouvelle-Aquitaine,Correze
DURBANS,Igue de Cloupman 2,46,598272.0,6396985.0,44.66453190667603,1.7166535826172655,46,Midi-Pyrénées,Occitanie,Lot
